
### F32 ###

 Kp      Ki      Kd      A0      A1      A2
 ------- ------- ------- ------- ------- -------
  0.8000  0.0200  0.1000  0.9200 -1.0000  0.1000

 in      out     S0      S1      S2
 ------- ------- ------- ------- -------
 -0.2000 -0.1840 -0.2000  0.0000 -0.1840
 -0.2000 -0.1680 -0.2000 -0.2000 -0.1680
 -0.2000 -0.1720 -0.2000 -0.2000 -0.1720
 -0.2000 -0.1760 -0.2000 -0.2000 -0.1760
 -0.2000 -0.1800 -0.2000 -0.2000 -0.1800
 -0.2000 -0.1840 -0.2000 -0.2000 -0.1840
 -0.2000 -0.1880 -0.2000 -0.2000 -0.1880
 -0.2000 -0.1920 -0.2000 -0.2000 -0.1920
 -0.2000 -0.1960 -0.2000 -0.2000 -0.1960
 -0.2000 -0.2000 -0.2000 -0.2000 -0.2000
 -0.2000 -0.2040 -0.2000 -0.2000 -0.2040
 -0.2000 -0.2080 -0.2000 -0.2000 -0.2080
 -0.2000 -0.2120 -0.2000 -0.2000 -0.2120
 -0.2000 -0.2160 -0.2000 -0.2000 -0.2160
 -0.2000 -0.2200 -0.2000 -0.2000 -0.2200
 -0.2000 -0.2240 -0.2000 -0.2000 -0.2240
 -0.2000 -0.2280 -0.2000 -0.2000 -0.2280
 -0.2000 -0.2320 -0.2000 -0.2000 -0.2320
 -0.2000 -0.2360 -0.2000 -0.2000 -0.2360
 -0.2000 -0.2400 -0.2000 -0.2000 -0.2400

### Q15 ###

 Kp      Ki      Kd      A0      A1      A2
 ------- ------- ------- ------- ------- -------
   26214     655    3276   30145  -32766    3276

 in      out     S0      S1      S2
 ------- ------- ------- ------- -------
   -6553   -6029   -6553       0   -6029
   -6553   -5505   -6553   -6553   -5505
   -6553   -5636   -6553   -6553   -5636
   -6553   -5767   -6553   -6553   -5767
   -6553   -5898   -6553   -6553   -5898
   -6553   -6029   -6553   -6553   -6029
   -6553   -6160   -6553   -6553   -6160
   -6553   -6291   -6553   -6553   -6291
   -6553   -6422   -6553   -6553   -6422
   -6553   -6553   -6553   -6553   -6553
   -6553   -6684   -6553   -6553   -6684
   -6553   -6815   -6553   -6553   -6815
   -6553   -6946   -6553   -6553   -6946
   -6553   -7077   -6553   -6553   -7077
   -6553   -7208   -6553   -6553   -7208
   -6553   -7339   -6553   -6553   -7339
   -6553   -7470   -6553   -6553   -7470
   -6553   -7601   -6553   -6553   -7601
   -6553   -7732   -6553   -6553   -7732
   -6553   -7863   -6553   -6553   -7863
