
### F32 ###

 Kp      Ki      Kd      A0      A1      A2
 ------- ------- ------- ------- ------- -------
  0.8000  0.0200  0.1000  0.9200 -1.0000  0.1000

 in      out     S0      S1      S2
 ------- ------- ------- ------- -------
  0.2000  0.1840  0.2000  0.0000  0.1840
  0.2000  0.1680  0.2000  0.2000  0.1680
  0.2000  0.1720  0.2000  0.2000  0.1720
  0.2000  0.1760  0.2000  0.2000  0.1760
  0.2000  0.1800  0.2000  0.2000  0.1800
  0.2000  0.1840  0.2000  0.2000  0.1840
  0.2000  0.1880  0.2000  0.2000  0.1880
  0.2000  0.1920  0.2000  0.2000  0.1920
  0.2000  0.1960  0.2000  0.2000  0.1960
  0.2000  0.2000  0.2000  0.2000  0.2000
  0.2000  0.2040  0.2000  0.2000  0.2040
  0.2000  0.2080  0.2000  0.2000  0.2080
  0.2000  0.2120  0.2000  0.2000  0.2120
  0.2000  0.2160  0.2000  0.2000  0.2160
  0.2000  0.2200  0.2000  0.2000  0.2200
  0.2000  0.2240  0.2000  0.2000  0.2240
  0.2000  0.2280  0.2000  0.2000  0.2280
  0.2000  0.2320  0.2000  0.2000  0.2320
  0.2000  0.2360  0.2000  0.2000  0.2360
  0.2000  0.2400  0.2000  0.2000  0.2400

### Q15 ###

 Kp      Ki      Kd      A0      A1      A2
 ------- ------- ------- ------- ------- -------
   26214     655    3276   30145  -32766    3276

 in      out     S0      S1      S2
 ------- ------- ------- ------- -------
    6553    6028    6553       0    6028
    6553    5503    6553    6553    5503
    6553    5633    6553    6553    5633
    6553    5763    6553    6553    5763
    6553    5893    6553    6553    5893
    6553    6023    6553    6553    6023
    6553    6153    6553    6553    6153
    6553    6283    6553    6553    6283
    6553    6413    6553    6553    6413
    6553    6543    6553    6553    6543
    6553    6673    6553    6553    6673
    6553    6803    6553    6553    6803
    6553    6933    6553    6553    6933
    6553    7063    6553    6553    7063
    6553    7193    6553    6553    7193
    6553    7323    6553    6553    7323
    6553    7453    6553    6553    7453
    6553    7583    6553    6553    7583
    6553    7713    6553    6553    7713
    6553    7843    6553    6553    7843
